"","incomeChangeHH","age","profile_gender","profile_GOR","profile_socialgrade_cie","pastvote_ge_2019","approveUKGovt"
"31","It has increased","55","Male","Wales","C1","Conservative","Strongly disapprove"
"32","It hasn’t changed","61","Female","South West","A","Conservative","Disapprove"
"33","It hasn’t changed","81","Male","North West","A","Conservative","Approve"
"34","It has decreased by less than a quarter","59","Male","East of England","C1","Other","Approve"
"35","It has decreased by less than a quarter","48","Female","East of England","B","Conservative","Neither approve nor disapprove"
"36","It has decreased by less than a quarter","67","Female","North East","B","Labour","Approve"
"37","It has decreased by between a quarter and a half","67","Female","East Midlands","C1","Labour","Approve"
"38","It hasn’t changed","49","Female","Wales","E","Liberal Democrat","Disapprove"
"39","It hasn’t changed","46","Female","London","C2","Labour","Strongly disapprove"
"40","It hasn’t changed","48","Female","West Midlands","B",NA,"Disapprove"
"41","It hasn’t changed","45","Female","South East","C2","Labour","Strongly disapprove"
"42","It hasn’t changed","69","Male","North East","A","Labour","Disapprove"
"43","It has decreased by less than a quarter","32","Female","Scotland","C1",NA,"Neither approve nor disapprove"
"44","It has decreased by less than a quarter","43","Male","Scotland","A","Scottish National Party (SNP)","Neither approve nor disapprove"
"45","It hasn’t changed","66","Female","London","B","Labour","Strongly disapprove"
"46","It hasn’t changed","46","Male","Wales","B","Plaid Cymru","Strongly disapprove"
"47","It hasn’t changed","62","Female","Yorkshire and the Humber","B","Conservative","Strongly approve"
"48","It has decreased by less than a quarter","68","Male","South East","C2","Conservative","Approve"
"49","It has decreased by less than a quarter","42","Male","East of England","C1","Labour","Disapprove"
"50","It hasn’t changed","72","Female","Wales","C2","Conservative","Strongly approve"
"51","It hasn’t changed","67","Female","London","C1","Labour","Disapprove"
"52","It hasn’t changed","43","Male","London","B","Liberal Democrat","Strongly disapprove"
"53","It has decreased by less than a quarter","87","Male","North East","A","Conservative","Approve"
"54","It has decreased by less than a quarter","75","Female","North West","B","Labour","Neither approve nor disapprove"
"55","It hasn’t changed","43","Male","London","C1","Conservative","Neither approve nor disapprove"
"56","It hasn’t changed","73","Male","East of England","B","Labour","Strongly disapprove"
"57","It has decreased by between a quarter and a half","47","Female","East of England","A","Labour","Neither approve nor disapprove"
"58","It hasn’t changed","58","Female","West Midlands","C1","Conservative","Approve"
"59","It has decreased by less than a quarter","91","Male","London","C1","Conservative","Neither approve nor disapprove"
"60","It hasn’t changed","68","Female","South West","A","Conservative","Neither approve nor disapprove"
"61","It hasn’t changed","51","Male","North West","C2","Conservative","Strongly approve"
"62","It hasn’t changed","59","Female","Scotland","C2","Conservative","Neither approve nor disapprove"
"63","It has increased","55","Female","South East","D","Conservative","Strongly approve"
"64","It hasn’t changed","65","Female","East of England","C2","Green","Disapprove"
"65","Don’t know","40","Female","North West","C2","Labour","Neither approve nor disapprove"
"66","It hasn’t changed","70","Male","East Midlands","C1","Conservative","Strongly approve"
"67","It hasn’t changed","77","Female","London","A","Conservative","Approve"
"68","It hasn’t changed","73","Male","North West","A","Green","Disapprove"
"69","It hasn’t changed","61","Female","South West","C2","Conservative","Approve"
"70","It has decreased by less than a quarter","52","Male","Scotland","C1","Scottish National Party (SNP)","Neither approve nor disapprove"
"71","It hasn’t changed","56","Male","London","E","Brexit Party","Disapprove"
"72","It hasn’t changed","77","Male","Scotland","E",NA,"Approve"
"73","Don’t know","38","Female","London","D",NA,"Neither approve nor disapprove"
"74","It hasn’t changed","66","Female","Yorkshire and the Humber","C2","Conservative","Approve"
"75","It hasn’t changed","86","Female","South West","B","Conservative","Approve"
"76","It has decreased by between a quarter and a half","40","Male","Scotland","B","Labour","Approve"
"77","It has decreased by between a quarter and a half","69","Female","West Midlands","E","Green","Neither approve nor disapprove"
"78","It has decreased by between a quarter and a half","45","Female","Scotland","C2","Scottish National Party (SNP)","Strongly disapprove"
"79","It hasn’t changed","51","Female","Scotland","C1","Scottish National Party (SNP)","Strongly disapprove"
"80","It has decreased by less than a quarter","52","Female","London","C2","Labour","Neither approve nor disapprove"
"81","It hasn’t changed","69","Female","East of England","C2",NA,"Disapprove"
"82","It hasn’t changed","44","Male","Yorkshire and the Humber","C1","Labour","Approve"
"83","It hasn’t changed","44","Male","West Midlands","D","Green","Approve"
"84","It hasn’t changed","83","Male","London","C1","Liberal Democrat","Neither approve nor disapprove"
"85","It hasn’t changed","72","Male","London","A","Conservative","Approve"
"86","It is less than half what it was","49","Female","South West","C2","Labour","Strongly disapprove"
"87","It has decreased by less than a quarter","64","Male","Yorkshire and the Humber","C1","Conservative","Approve"
"88","It hasn’t changed","66","Female","North West","B","Conservative","Neither approve nor disapprove"
"89","It has increased","69","Female","Scotland","C1","Scottish National Party (SNP)","Disapprove"
"90","It hasn’t changed","73","Female","East of England","D","Conservative","Approve"
"91","It hasn’t changed","69","Female","South West","B","Conservative","Approve"
"92","It hasn’t changed","69","Female","South West","E","Conservative","Disapprove"
"93","It has decreased by less than a quarter","65","Male","North West","B","Labour","Disapprove"
"94","It hasn’t changed","61","Male","South East","E","Conservative","Approve"
"95","It hasn’t changed","41","Female","Yorkshire and the Humber","A","Labour","Approve"
"96","It hasn’t changed","71","Female","South West","E","Conservative","Approve"
"97","It hasn’t changed","70","Female","North West","C2","Conservative","Strongly approve"
"98","It hasn’t changed","74","Male","North West","A","Labour","Strongly disapprove"
"99","It hasn’t changed","42","Male","North East","C1","Liberal Democrat","Neither approve nor disapprove"
"100","It hasn’t changed","40","Male","London","C1","Labour","Disapprove"
"101","It hasn’t changed","63","Male","South East","C1","Labour","Disapprove"
"102","It has decreased by between a quarter and a half","64","Male","London","A","Liberal Democrat","Strongly disapprove"
"103","It hasn’t changed","62","Male","East of England","C1","Labour","Disapprove"
"104","It hasn’t changed","72","Female","South East","E","Conservative","Strongly approve"
"105","It hasn’t changed","42","Male","London","C1","Liberal Democrat","Disapprove"
"106","It hasn’t changed","69","Male","South West","E","Conservative","Approve"
"107","It hasn’t changed","61","Male","South East","C2","Green","Neither approve nor disapprove"
"108","It has decreased by less than a quarter","70","Female","East of England","B","Conservative","Approve"
"109","It hasn’t changed","75","Male","South East","C2","Conservative","Approve"
"110","It has increased","64","Female","East Midlands","E","Liberal Democrat","Neither approve nor disapprove"
"111","It hasn’t changed","72","Female","South West","E","Labour","Disapprove"
"112","It hasn’t changed","48","Male","East Midlands","C1","Conservative","Neither approve nor disapprove"
"113","It hasn’t changed","69","Male","Yorkshire and the Humber","B","Conservative","Approve"
"114","It hasn’t changed","81","Female","South East","C1","Conservative","Approve"
"115","It hasn’t changed","51","Female","North East","D","Conservative","Approve"
"116","It hasn’t changed","69","Female","Yorkshire and the Humber","E",NA,"Approve"
"117","It hasn’t changed","56","Male","London","C2","Liberal Democrat","Strongly disapprove"
"118","It hasn’t changed","68","Male","South East","C1","Conservative","Approve"
"119","It hasn’t changed","70","Male","London","C1",NA,"Neither approve nor disapprove"
"120","It hasn’t changed","65","Female","South East","D",NA,"Neither approve nor disapprove"
"121","It hasn’t changed","65","Male","South East","A","Labour","Strongly disapprove"
"122","It has decreased by between a quarter and a half","74","Male","East of England","B",NA,"Neither approve nor disapprove"
"123","It hasn’t changed","79","Male","Scotland","B","Conservative","Approve"
"124","It has decreased by less than a quarter","39","Male","East of England","D","Labour","Strongly disapprove"
"125","Don’t know","50","Female","East Midlands","C1","Labour","Disapprove"
"126","It hasn’t changed","70","Male","South East","A","Conservative","Approve"
"127","It hasn’t changed","49","Male","East Midlands","E","Conservative","Strongly approve"
"128","It hasn’t changed","80","Male","South East","A","Conservative","Strongly approve"
"129","It hasn’t changed","61","Female","Scotland","B","Scottish National Party (SNP)","Strongly disapprove"
"130","It has decreased by less than a quarter","46","Female","Scotland","B","Scottish National Party (SNP)","Approve"
"131","It hasn’t changed","70","Male","South East","C1","Conservative","Strongly disapprove"
"132","It hasn’t changed","61","Male","Yorkshire and the Humber","C2","Conservative","Approve"
"133","It hasn’t changed","65","Male","North West","C2","Labour","Neither approve nor disapprove"
"134","It has decreased by less than a quarter","62","Male","South East","C1","Liberal Democrat","Neither approve nor disapprove"
"135","It hasn’t changed","81","Male","West Midlands","C2","Conservative","Strongly approve"
"136","It is less than half what it was","43","Male","North West","A","Conservative","Strongly approve"
"137","It has decreased by less than a quarter","67","Male","South East","C2","Conservative","Strongly disapprove"
"138","It has increased","44","Male","North West","B",NA,"Approve"
"139","It hasn’t changed","72","Female","East Midlands","C2","Conservative","Approve"
"140","It has decreased by less than a quarter","43","Male","Wales","C1","Conservative","Strongly approve"
"141","It has decreased by between a quarter and a half","53","Male","Yorkshire and the Humber","C1","Labour","Disapprove"
"142","It has decreased by less than a quarter","69","Female","Scotland","E",NA,"Disapprove"
"143","It hasn’t changed","59","Female","South West","B","Conservative","Approve"
"144","It has increased","71","Male","South West","C1","Conservative","Strongly approve"
"145","It hasn’t changed","54","Male","South East","D","Conservative","Strongly approve"
"146","It hasn’t changed","52","Male","East of England","D","Labour","Strongly disapprove"
"147","It hasn’t changed","71","Male","Yorkshire and the Humber","C1","Conservative","Neither approve nor disapprove"
"148","It hasn’t changed","77","Female","West Midlands","C1","Liberal Democrat","Approve"
"149","It hasn’t changed","78","Male","South East","B","Conservative","Neither approve nor disapprove"
"150","It has increased","73","Male","East Midlands","C2","Conservative","Approve"
"151","It hasn’t changed","35","Male","North West","C1","Labour","Disapprove"
"152","It hasn’t changed","76","Male","Yorkshire and the Humber","B","Labour","Strongly disapprove"
"153","It hasn’t changed","73","Male","Scotland","C1","Conservative","Strongly disapprove"
"154","It has decreased by less than a quarter","54","Female","South West","A","Liberal Democrat","Strongly disapprove"
"155","It is less than half what it was","54","Female","South West","A","Labour","Strongly disapprove"
"156","It hasn’t changed","42","Male","North East","C1","Labour","Disapprove"
"157","It has decreased by between a quarter and a half","54","Male","South West","C1","Liberal Democrat","Neither approve nor disapprove"
"158","It hasn’t changed","51","Male","Wales","C1","Labour","Strongly disapprove"
"159","It hasn’t changed","56","Male","East Midlands","B","Conservative","Approve"
"160","It hasn’t changed","58","Male","North West","D","Labour","Disapprove"
"161","It hasn’t changed","60","Female","Scotland","B","Liberal Democrat","Neither approve nor disapprove"
"162","It hasn’t changed","69","Female","East of England","B","Conservative","Approve"
"163","It hasn’t changed","44","Female","Yorkshire and the Humber","C1","Conservative","Approve"
"164","It hasn’t changed","56","Male","London","D","Conservative","Strongly approve"
"165","It hasn’t changed","45","Male","North West","C2","Conservative","Approve"
"166","It hasn’t changed","78","Male","London","B","Liberal Democrat","Neither approve nor disapprove"
"167","It hasn’t changed","33","Female","London","C1","Liberal Democrat","Neither approve nor disapprove"
"168","It has decreased by less than a quarter","57","Male","London","B","Labour","Disapprove"
"169","It has decreased by between a quarter and a half","42","Male","Scotland","C1","Scottish National Party (SNP)","Disapprove"
"170","It is less than half what it was","57","Female","Scotland","C1","Labour","Approve"
"171","It is less than half what it was","70","Female","London","E","Conservative","Approve"
"172","It hasn’t changed","38","Male","South East","A","Conservative","Approve"
"173","It hasn’t changed","46","Female","London","C1","Conservative","Neither approve nor disapprove"
"174","It has decreased by less than a quarter","37","Male","North East","B","Labour","Disapprove"
"175","It has increased","66","Female","Yorkshire and the Humber","A","Conservative","Approve"
"176","It hasn’t changed","67","Female","North West","B","Liberal Democrat","Approve"
"177","It hasn’t changed","44","Male","East of England","C1","Liberal Democrat","Disapprove"
"178","It hasn’t changed","73","Female","West Midlands","C2","Conservative","Approve"
"179","It has increased","47","Male","London","B","Liberal Democrat","Neither approve nor disapprove"
"180","It hasn’t changed","84","Female","Yorkshire and the Humber","D","Liberal Democrat","Disapprove"
"181","It has decreased by less than a quarter","47","Female","East Midlands","B",NA,"Approve"
"182","It hasn’t changed","41","Female","Yorkshire and the Humber","B","Labour","Disapprove"
"183","It has decreased by between a quarter and a half","62","Female","North West","C1","Conservative","Neither approve nor disapprove"
"184","Don’t know","47","Female","North East","C1","Other","Neither approve nor disapprove"
"185","Don’t know","49","Female","London","E",NA,"Approve"
"186","It hasn’t changed","73","Male","South East","C1",NA,"Disapprove"
"187","It hasn’t changed","70","Female","North West","D",NA,"Neither approve nor disapprove"
"188","It hasn’t changed","32","Male","London","C1","Green","Approve"
"189","It has decreased by less than a quarter","67","Female","South East","A",NA,"Neither approve nor disapprove"
"190","It hasn’t changed","72","Female","North East","C2","Other","Disapprove"
"191","It hasn’t changed","73","Female","South East","C1","Conservative","Approve"
"192","It hasn’t changed","77","Male","North West","C2","Liberal Democrat","Disapprove"
"193","It hasn’t changed","54","Female","South West","C2","Conservative","Approve"
"194","It hasn’t changed","74","Female","North West","B","Brexit Party","Neither approve nor disapprove"
"195","It hasn’t changed","49","Female","Wales","C1","Labour","Strongly disapprove"
"196","It hasn’t changed","47","Male","Yorkshire and the Humber","A","Liberal Democrat","Approve"
"197","It has increased","42","Male","Wales","C1","Liberal Democrat","Strongly disapprove"
"198","It hasn’t changed","61","Female","East of England","A","Green","Neither approve nor disapprove"
"199","It has decreased by less than a quarter","64","Female","South East","E","Conservative","Strongly approve"
"200","It hasn’t changed","52","Female","West Midlands","C1","Conservative","Approve"
"201","It hasn’t changed","67","Female","West Midlands","C1","Conservative","Neither approve nor disapprove"
"202","It hasn’t changed","72","Male","North West","A","Conservative","Approve"
"203","It has increased","50","Female","North West","A","Labour","Approve"
"204","It has decreased by less than a quarter","75","Female","Scotland","B","Conservative","Strongly approve"
"205","Don’t know","57","Male","North West","B","Brexit Party","Approve"
"206","It hasn’t changed","56","Male","South West","C1","Liberal Democrat","Strongly disapprove"
"207","It hasn’t changed","69","Male","North West","C1","Conservative","Neither approve nor disapprove"
"208","It has decreased by between a quarter and a half","59","Male","South West","C2","Labour","Strongly disapprove"
"209","It hasn’t changed","70","Male","East of England","C2","Conservative","Approve"
"210","It hasn’t changed","50","Female","Scotland","D","Scottish National Party (SNP)","Strongly disapprove"
"211","It hasn’t changed","65","Male","East of England","C2","Conservative","Strongly approve"
"212","It hasn’t changed","73","Female","Yorkshire and the Humber","B","Labour","Strongly disapprove"
"213","It hasn’t changed","76","Male","London","B","Conservative","Strongly approve"
"214","It hasn’t changed","57","Male","East of England","D","Labour","Disapprove"
"215","It hasn’t changed","54","Female","North East","B","Labour","Strongly disapprove"
"216","It hasn’t changed","71","Male","West Midlands","A",NA,"Neither approve nor disapprove"
"217","Don’t know","37","Male","London","B","Labour","Strongly disapprove"
"218","It has decreased by between a quarter and a half","43","Male","North West","A","Labour","Disapprove"
"219","It hasn’t changed","40","Female","South West","B","Labour","Approve"
"220","It hasn’t changed","74","Male","South East","E","Conservative","Approve"
"221","It has decreased by less than a quarter","58","Male","London","E","Liberal Democrat","Disapprove"
"222","It hasn’t changed","75","Male","Scotland","C2","Conservative","Approve"
"223","It is less than half what it was","60","Female","West Midlands","C1","Liberal Democrat","Disapprove"
"224","It hasn’t changed","62","Female","Yorkshire and the Humber","E","Conservative","Approve"
"225","It hasn’t changed","46","Male","London","C1","Liberal Democrat","Disapprove"
"226","Don’t know","39","Female","East of England","E","Labour","Neither approve nor disapprove"
"227","It has decreased by less than a quarter","64","Female","South East","A",NA,"Approve"
"228","It hasn’t changed","66","Male","South East","B","Don't know","Neither approve nor disapprove"
"229","It hasn’t changed","68","Male","Wales","C2","Labour","Strongly disapprove"
"230","It hasn’t changed","71","Male","East of England","C2","Conservative","Strongly approve"
"231","It hasn’t changed","82","Female","West Midlands","C2","Conservative","Neither approve nor disapprove"
"232","It hasn’t changed","59","Male","London","C1","Conservative","Approve"
"233","It is less than half what it was","57","Male","South West","A","Conservative","Approve"
"234","It hasn’t changed","72","Male","East of England","E","Conservative","Approve"
"235","It hasn’t changed","77","Female","East of England","E","Conservative","Neither approve nor disapprove"
"236","It hasn’t changed","68","Male","South East","A","Conservative","Neither approve nor disapprove"
"237","It hasn’t changed","57","Female","East Midlands","C2","Liberal Democrat","Neither approve nor disapprove"
"238","It hasn’t changed","63","Female","South East","E","Labour","Strongly disapprove"
"239","It hasn’t changed","65","Male","Scotland","D","Scottish National Party (SNP)","Disapprove"
"240","It hasn’t changed","57","Male","Wales","D","Conservative","Strongly approve"
"241","It has decreased by between a quarter and a half","58","Female","Scotland","C2","Conservative","Neither approve nor disapprove"
"242","It hasn’t changed","37","Male","London","C1","Conservative","Approve"
"243","It has decreased by between a quarter and a half","58","Male","West Midlands","C2","Labour","Disapprove"
"244","It has decreased by less than a quarter","37","Male","Yorkshire and the Humber","C1","Labour","Strongly disapprove"
"245","It hasn’t changed","74","Male","South West","C1","Conservative","Approve"
"246","It hasn’t changed","70","Female","Scotland","B","Conservative","Approve"
"247","It hasn’t changed","81","Female","Yorkshire and the Humber","B","Conservative","Neither approve nor disapprove"
"248","It hasn’t changed","69","Female","Scotland","C2","Conservative","Approve"
"249","It hasn’t changed","65","Male","South East","C2","Liberal Democrat","Strongly approve"
"250","It has decreased by less than a quarter","70","Male","East of England","E","Conservative","Approve"
"251","It hasn’t changed","46","Male","South West","A","Conservative","Approve"
"252","It is less than half what it was","39","Female","London","C2","Liberal Democrat","Approve"
"253","It hasn’t changed","76","Male","North West","E","Conservative","Strongly approve"
"254","Don’t know","47","Female","East Midlands","C1","Conservative","Neither approve nor disapprove"
"255","It has increased","62","Female","Scotland","E","Scottish National Party (SNP)","Strongly disapprove"
"256","It hasn’t changed","90","Female","London","B","Labour","Neither approve nor disapprove"
"257","It hasn’t changed","63","Male","South West","C1","Conservative","Approve"
"258","It has increased","69","Female","London","C2","Conservative","Approve"
"259","It hasn’t changed","36","Female","South West","C1","Conservative","Strongly approve"
"260","It hasn’t changed","36","Female","London","D","Labour","Neither approve nor disapprove"
"261","It hasn’t changed","62","Male","North West","D","Liberal Democrat","Disapprove"
"262","It hasn’t changed","48","Male","South East","C1","Labour","Disapprove"
"263","It has increased","40","Female","Yorkshire and the Humber","B","Conservative","Approve"
"264","It is less than half what it was","51","Male","South West","C2","Conservative","Neither approve nor disapprove"
"265","It hasn’t changed","76","Female","North East","C1","Brexit Party","Strongly approve"
"266","It hasn’t changed","30","Male","South East","B","Conservative","Strongly approve"
"267","It is less than half what it was","65","Male","South East","C2","Conservative","Approve"
"268","It hasn’t changed","68","Female","Scotland","C1","Liberal Democrat","Neither approve nor disapprove"
"269","It hasn’t changed","33","Female","East of England","C1","Labour","Disapprove"
"270","It has decreased by between a quarter and a half","43","Female","South East","C2","Conservative","Disapprove"
"271","It hasn’t changed","59","Female","Scotland","B","Conservative","Approve"
"272","It hasn’t changed","54","Female","Wales","B","Conservative","Approve"
"273","It hasn’t changed","59","Female","Yorkshire and the Humber","C1",NA,"Neither approve nor disapprove"
"274","It hasn’t changed","49","Female","South West","C1","Conservative","Approve"
"275","It has increased","35","Female","West Midlands","C2","Labour","Neither approve nor disapprove"
"276","It has decreased by less than a quarter","50","Female","East of England","D","Conservative","Approve"
"277","It hasn’t changed","38","Female","Wales","C1","Liberal Democrat","Disapprove"
"278","It hasn’t changed","48","Male","South East","C1","Conservative","Neither approve nor disapprove"
"279","It hasn’t changed","39","Female","North East","B","Labour","Neither approve nor disapprove"
"280","It has decreased by less than a quarter","49","Male","North West","C1",NA,"Neither approve nor disapprove"
"281","It hasn’t changed","37","Male","London","C1",NA,"Neither approve nor disapprove"
"282","It hasn’t changed","77","Female","South East","A","Conservative","Approve"
"283","It has decreased by between a quarter and a half","48","Female","Wales","B","Conservative","Approve"
"284","It hasn’t changed","70","Female","Wales","C1","Conservative","Strongly approve"
"285","It hasn’t changed","68","Female","South East","E","Liberal Democrat","Disapprove"
"286","It has decreased by less than a quarter","40","Male","North West","B","Labour","Neither approve nor disapprove"
"287","It hasn’t changed","75","Female","East Midlands","C2","Conservative","Disapprove"
"288","It has decreased by less than a quarter","58","Male","South East","D","Conservative","Approve"
"289","It hasn’t changed","29","Male","North West","C1","Labour","Strongly approve"
"290","It hasn’t changed","73","Female","East Midlands","A","Conservative","Approve"
"291","It hasn’t changed","80","Male","Wales","C1","Conservative","Approve"
"292","It has increased","78","Male","East of England","B","Conservative","Approve"
"293","It hasn’t changed","66","Male","Scotland","C2","Scottish National Party (SNP)","Approve"
"294","It hasn’t changed","65","Female","East of England","E","Conservative","Approve"
"295","It hasn’t changed","65","Female","Scotland","A","Labour","Neither approve nor disapprove"
"296","It hasn’t changed","73","Female","East Midlands","A","Conservative","Approve"
"297","It hasn’t changed","82","Male","London","D",NA,"Disapprove"
"298","It has decreased by less than a quarter","41","Male","Yorkshire and the Humber","D","Conservative","Approve"
"299","It hasn’t changed","73","Female","South West","D","Conservative","Approve"
"300","It hasn’t changed","61","Male","Yorkshire and the Humber","C1","Conservative","Strongly disapprove"
"301","It hasn’t changed","82","Male","South West","C2","Conservative","Disapprove"
"302","It hasn’t changed","55","Male","London","D","Labour","Neither approve nor disapprove"
"303","It hasn’t changed","75","Female","Wales","E","Labour","Disapprove"
"304","It hasn’t changed","67","Male","Wales","B","Labour","Strongly disapprove"
"305","It hasn’t changed","73","Female","North West","C1","Conservative","Approve"
"306","It hasn’t changed","64","Male","South West","A","Liberal Democrat","Neither approve nor disapprove"
"307","It hasn’t changed","51","Male","North West","D","Labour","Neither approve nor disapprove"
"308","It hasn’t changed","38","Male","South East","A","Liberal Democrat","Disapprove"
"309","It hasn’t changed","75","Female","East Midlands","B","Conservative","Strongly approve"
"310","It hasn’t changed","57","Female","Yorkshire and the Humber","B","Labour","Strongly disapprove"
"311","It hasn’t changed","30","Female","London","C1","Liberal Democrat","Neither approve nor disapprove"
"312","It hasn’t changed","54","Male","Wales","C1","Plaid Cymru","Disapprove"
"313","It hasn’t changed","73","Female","North West","C1","Conservative","Neither approve nor disapprove"
"314","It hasn’t changed","71","Female","North West","E","Conservative","Strongly approve"
"315","It hasn’t changed","53","Male","Wales","C2","Plaid Cymru","Approve"
"316","It hasn’t changed","64","Male","London","C1","Conservative","Strongly approve"
"317","It hasn’t changed","65","Male","North West","D","Labour","Strongly disapprove"
"318","It has decreased by less than a quarter","63","Male","West Midlands","D","Labour","Strongly disapprove"
"319","It hasn’t changed","71","Male","West Midlands","C1","Labour","Neither approve nor disapprove"
"320","It is less than half what it was","34","Female","Yorkshire and the Humber","A","Labour","Strongly disapprove"
"321","It hasn’t changed","54","Male","South West","C1","Conservative","Approve"
"322","It hasn’t changed","38","Male","West Midlands","B",NA,"Disapprove"
"323","It is less than half what it was","39","Male","North West","C1","Labour","Neither approve nor disapprove"
"324","It has decreased by less than a quarter","42","Male","London","B","Labour","Neither approve nor disapprove"
"325","It hasn’t changed","42","Female","South West","C1","Conservative","Strongly approve"
"326","It hasn’t changed","69","Male","Yorkshire and the Humber","C1","Conservative","Approve"
"327","It hasn’t changed","71","Female","North West","C2","Conservative","Approve"
"328","It hasn’t changed","62","Male","London","C1","Conservative","Approve"
"329","It has decreased by between a quarter and a half","40","Female","London","C1","Labour","Neither approve nor disapprove"
"330","It hasn’t changed","61","Male","South East","C1",NA,"Disapprove"
"331","It has decreased by less than a quarter","44","Female","Scotland","B","Brexit Party","Neither approve nor disapprove"
"332","It hasn’t changed","55","Female","South East","D","Labour","Disapprove"
"333","It has increased","66","Male","London","B","Labour","Strongly approve"
"334","It hasn’t changed","71","Female","Scotland","C1","Scottish National Party (SNP)","Disapprove"
"335","It hasn’t changed","72","Female","Wales","C1","Labour","Disapprove"
"336","It hasn’t changed","50","Male","North West","C1","Labour","Strongly disapprove"
"337","It hasn’t changed","49","Male","London","C1","Labour","Disapprove"
"338","It hasn’t changed","81","Female","London","C1","Conservative","Approve"
"339","Don’t know","42","Male","South East","C1","Liberal Democrat","Neither approve nor disapprove"
"340","It hasn’t changed","52","Male","East of England","C2","Labour","Neither approve nor disapprove"
"341","It hasn’t changed","72","Male","North East","C2","Conservative","Neither approve nor disapprove"
"342","It hasn’t changed","64","Female","Wales","C1","Liberal Democrat","Approve"
"343","Don’t know","68","Male","South East","C2","Conservative","Strongly approve"
"344","It hasn’t changed","91","Female","East Midlands","C1","Conservative","Approve"
"345","It has decreased by less than a quarter","66","Male","Yorkshire and the Humber","A","Labour","Strongly disapprove"
"346","It hasn’t changed","81","Female","North West","C1","Labour","Disapprove"
"347","It has decreased by less than a quarter","49","Male","West Midlands","B","Conservative","Approve"
"348","It hasn’t changed","54","Female","Yorkshire and the Humber","C1","Conservative","Neither approve nor disapprove"
"349","It has decreased by less than a quarter","74","Male","East of England","B","Labour","Disapprove"
"350","It hasn’t changed","77","Male","South East","C2","Conservative","Neither approve nor disapprove"
"351","It hasn’t changed","67","Female","East of England","C2","Conservative","Neither approve nor disapprove"
"352","It has decreased by less than a quarter","43","Female","Wales","C1","Conservative","Approve"
"353","Don’t know","46","Male","North West","E","Conservative","Approve"
"354","It is less than half what it was","49","Male","South West","B","Labour","Strongly disapprove"
"355","It hasn’t changed","38","Male","Scotland","B","Conservative","Neither approve nor disapprove"
"356","It has decreased by less than a quarter","41","Female","East of England","C1","Liberal Democrat","Neither approve nor disapprove"
"357","Don’t know","66","Female","Wales","C2","Liberal Democrat","Neither approve nor disapprove"
"358","It has increased","74","Female","Wales","E","Brexit Party","Neither approve nor disapprove"
"359","It is less than half what it was","64","Female","East of England","E","Conservative","Approve"
"360","It is less than half what it was","85","Female","South East","A",NA,"Neither approve nor disapprove"
"361","It hasn’t changed","49","Male","London","B","Labour","Neither approve nor disapprove"
"362","It hasn’t changed","62","Male","South West","C1","Conservative","Approve"
